,Time,weekday,price,percent_change_24,percent_change_48,percent_change_72,percent_change_96
52,2020-10-04 13:30:00,6,522.47998046875,3.9685819862640415,7.336169522793101,7.022279094500283,5.594539077547633
53,2020-10-04 14:30:00,6,522.47998046875,3.573351064774277,7.657711541355039,7.018762867521655,5.740888883489292
54,2020-10-04 15:30:00,6,522.47998046875,4.381989815324494,6.287329246877915,6.721787710541394,5.591606941429239
55,2020-10-04 16:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
56,2020-10-04 17:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
57,2020-10-04 18:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
58,2020-10-04 19:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
59,2020-10-04 20:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
60,2020-10-04 21:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
61,2020-10-04 22:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
62,2020-10-04 23:30:00,6,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
63,2020-10-05 00:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
64,2020-10-05 01:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
65,2020-10-05 02:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
66,2020-10-05 03:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
67,2020-10-05 04:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
68,2020-10-05 05:30:00,0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565
