,Time,viewCount,likeCount,dislikeCount,videoTitleSentimentScore_pos,videoTitleSentimentScore_neg,captionSentimentScore_pos,captionSentimentScore_neg,captionSentimentScore_com,videoTitleSentimentScore_com,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,weekday,price,future_price,percent_change
69,2020-10-12 17:30:00,5144.48,150.12,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,30.84,276.18577983862247,9.296454885582133,0.1916228225606435,0.9722695511843054,0.9722695511843054,268.3453716985384,0,568.719970703125,569.9099731445312,0.209242246220942
70,2020-10-12 18:30:00,5144.96,150.16,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,30.96,276.0988207471458,9.303685023485944,0.1914334394146375,0.972331089645844,0.972331089645844,268.2691812224723,0,568.719970703125,569.9099731445312,0.209242246220942
71,2020-10-12 19:30:00,5145.8,150.16,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.8791240000000002,0.1614999999999999,31.04,274.76090635545785,9.19994875974968,0.1912136591948573,0.9723310896458436,0.9723310896458436,266.9342905885032,0,568.719970703125,569.9099731445312,0.209242246220942
72,2020-10-12 20:30:00,5146.48,150.16,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,31.12,273.3981910707426,9.054615426416348,0.187880325861524,0.9723310896458436,0.9723310896458436,265.6183140046512,0,568.719970703125,569.9099731445312,0.209242246220942
73,2020-10-12 21:30:00,5146.92,150.16,4.4,0.0945599999999999,0.0,0.12136,0.0212,0.879124,0.1614999999999999,31.12,273.4565430684095,9.054615426416348,0.187880325861524,0.9723310896458436,0.9723310896458436,265.67521302496823,0,568.719970703125,569.9099731445312,0.209242246220942
74,2020-10-13 12:30:00,9982.96,223.72,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,31.8,316.24733817084626,9.275935347197825,0.2078316235085434,0.97231719099356,0.97231719099356,306.87154110393533,1,568.239990234375,560.7899780273438,-1.311067917616715
75,2020-10-13 13:30:00,9983.46,223.72,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,31.8,316.3169882318102,9.275935347197825,0.2078316235085433,0.9723171909935598,0.9723171909935598,306.9393733933858,1,569.0700073242188,561.3599853515625,-1.3548459545265734
76,2020-10-13 14:30:00,9984.2,223.76,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,31.8,316.39076361683595,9.277416828679304,0.2078316235085434,0.9723309178295244,0.9723309178295244,307.01226388391774,1,566.5800170898438,563.5850219726562,-0.5286093802903347
77,2020-10-13 15:30:00,9984.8,223.76,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,31.8,316.45556380889195,9.277416828679304,0.2078316235085434,0.9723309178295244,0.9723309178295244,307.07533497618306,1,572.030029296875,565.9000244140625,-1.0716229164310365
78,2020-10-13 16:30:00,9985.52,223.76,6.88,0.10144,0.0,0.1194,0.02196,0.8790719999999999,0.175948,31.92,314.25756570361403,9.25292604495323,0.2068492137614278,0.9723309178295244,0.9723309178295244,304.9651329178222,1,569.9099731445312,563.6300048828125,-1.1019228575819495
79,2020-10-13 17:30:00,9986.12,223.76,6.88,0.10144,0.0,0.1194,0.02196,0.8790720000000001,0.175948,32.04,306.1328875182943,9.13642666577943,0.2023043297049158,0.9723309178295244,0.9723309178295244,297.184794553772,1,569.9099731445312,563.6300048828125,-1.1019228575819495
