,Time,weekday,price,future_price,percent_change
3449,2021-02-23 02:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3450,2021-02-23 03:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3451,2021-02-23 04:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3452,2021-02-23 05:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3453,2021-02-23 06:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3454,2021-02-23 07:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3455,2021-02-23 08:30:00,1,574.22998046875,565.6500244140625,-1.494167205913488
3456,2021-02-23 09:30:00,1,563.010009765625,564.9099731445312,0.3374652929700517
3457,2021-02-23 10:30:00,1,555.2100219726562,557.9000244140625,0.48450178039811664
3458,2021-02-23 11:30:00,1,557.5850219726562,563.4500122070312,1.0518557714526588
3459,2021-02-23 12:30:00,1,553.280029296875,567.7999877929688,2.6243416944844666
3460,2021-02-23 13:30:00,1,554.4650268554688,570.3900146484375,2.872135666208564
3461,2021-02-23 14:30:00,1,557.8699951171875,576.1500244140625,3.276754343641497
3462,2021-02-23 15:30:00,1,568.3099975585938,576.02001953125,1.3566578110147276
3463,2021-02-23 16:30:00,1,565.6500244140625,580.0,2.5369000206094228
3464,2021-02-23 17:30:00,1,565.6500244140625,580.0,2.5369000206094228
3465,2021-02-23 18:30:00,1,565.6500244140625,580.0,2.5369000206094228
3466,2021-02-23 19:30:00,1,565.6500244140625,580.0,2.5369000206094228
3467,2021-02-23 20:30:00,1,565.6500244140625,580.0,2.5369000206094228
3468,2021-02-23 21:30:00,1,565.6500244140625,580.0,2.5369000206094228
3469,2021-02-23 22:30:00,1,565.6500244140625,580.0,2.5369000206094228
3470,2021-02-23 23:30:00,1,565.6500244140625,580.0,2.5369000206094228
3471,2021-02-24 00:30:00,2,565.6500244140625,580.0,2.5369000206094228
3472,2021-02-24 01:30:00,2,565.6500244140625,580.0,2.5369000206094228
3473,2021-02-24 02:30:00,2,565.6500244140625,580.0,2.5369000206094228
3474,2021-02-24 03:30:00,2,565.6500244140625,580.0,2.5369000206094228
3475,2021-02-24 04:30:00,2,565.6500244140625,580.0,2.5369000206094228
3476,2021-02-24 05:30:00,2,565.6500244140625,580.0,2.5369000206094228
3477,2021-02-24 06:30:00,2,565.6500244140625,580.0,2.5369000206094228
3478,2021-02-24 07:30:00,2,565.6500244140625,580.0,2.5369000206094228
3479,2021-02-24 08:30:00,2,565.6500244140625,580.0,2.5369000206094228
3480,2021-02-24 09:30:00,2,564.9099731445312,561.8167114257812,-0.5475671993417919
3481,2021-02-24 10:30:00,2,557.9000244140625,561.8900146484375,0.7151801505234756
3482,2021-02-24 11:30:00,2,563.4500122070312,554.3350219726562,-1.6177105398705427
3483,2021-02-24 12:30:00,2,567.7999877929688,541.4500122070312,-4.640714362879706
3484,2021-02-24 13:30:00,2,570.3900146484375,538.0399780273438,-5.671564331474643
3485,2021-02-24 14:30:00,2,576.1500244140625,541.4299926757812,-6.026213705985883
3486,2021-02-24 15:30:00,2,576.02001953125,531.4600219726562,-7.735841819326961
3487,2021-02-24 16:30:00,2,580.0,531.9099731445312,-8.291383940598063
3488,2021-02-24 17:30:00,2,580.0,531.9099731445312,-8.291383940598063
3489,2021-02-24 18:30:00,2,580.0,531.9099731445312,-8.291383940598063
3490,2021-02-24 19:30:00,2,580.0,531.9099731445312,-8.291383940598063
3491,2021-02-24 20:30:00,2,580.0,531.9099731445312,-8.291383940598063
3492,2021-02-24 21:30:00,2,580.0,531.9099731445312,-8.291383940598063
3493,2021-02-24 22:30:00,2,580.0,531.9099731445312,-8.291383940598063
3494,2021-02-24 23:30:00,2,580.0,531.9099731445312,-8.291383940598063
3495,2021-02-25 00:30:00,3,580.0,531.9099731445312,-8.291383940598063
3496,2021-02-25 01:30:00,3,580.0,531.9099731445312,-8.291383940598063
3497,2021-02-25 02:30:00,3,580.0,531.9099731445312,-8.291383940598063
3498,2021-02-25 03:30:00,3,580.0,531.9099731445312,-8.291383940598063
3499,2021-02-25 04:30:00,3,580.0,531.9099731445312,-8.291383940598063
3500,2021-02-25 05:30:00,3,580.0,531.9099731445312,-8.291383940598063
3501,2021-02-25 06:30:00,3,580.0,531.9099731445312,-8.291383940598063
3502,2021-02-25 07:30:00,3,580.0,531.9099731445312,-8.291383940598063
3503,2021-02-25 08:30:00,3,580.0,531.9099731445312,-8.291383940598063
3504,2021-02-25 09:30:00,3,561.8167114257812,550.0999755859375,-2.0855086012142587
3505,2021-02-25 10:30:00,3,561.8900146484375,536.4500122070312,-4.527576888392204
3506,2021-02-25 11:30:00,3,554.3350219726562,545.989990234375,-1.5054130458120096
3507,2021-02-25 12:30:00,3,541.4500122070312,551.2568969726562,1.8112262525677325
3508,2021-02-25 13:30:00,3,538.0399780273438,552.9600219726562,2.773036308568555
3509,2021-02-25 14:30:00,3,541.4299926757812,547.5700073242188,1.1340366679897462
3510,2021-02-25 15:30:00,3,531.4600219726562,548.4450073242188,3.1959102565265685
3511,2021-02-25 16:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3512,2021-02-25 17:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3513,2021-02-25 18:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3514,2021-02-25 19:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3515,2021-02-25 20:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3516,2021-02-25 21:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3517,2021-02-25 22:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3518,2021-02-25 23:30:00,3,531.9099731445312,548.2000122070312,3.062555673885381
3519,2021-02-26 00:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3520,2021-02-26 01:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3521,2021-02-26 02:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3522,2021-02-26 03:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3523,2021-02-26 04:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3524,2021-02-26 05:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3525,2021-02-26 06:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3526,2021-02-26 07:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3527,2021-02-26 08:30:00,4,531.9099731445312,548.2000122070312,3.062555673885381
3528,2021-02-26 09:30:00,4,550.0999755859375,556.0,1.0725367525745044
3529,2021-02-26 10:30:00,4,536.4500122070312,545.0499877929688,1.6031271116121237
3530,2021-02-26 11:30:00,4,545.989990234375,549.1649780273438,0.5815102565535746
3531,2021-02-26 12:30:00,4,551.2568969726562,547.0999755859375,-0.7540806127864119
3532,2021-02-26 13:30:00,4,552.9600219726562,546.77001953125,-1.119430373885577
3533,2021-02-26 14:30:00,4,547.5700073242188,547.8800048828125,0.05661331965725047
3534,2021-02-26 15:30:00,4,548.4450073242188,549.5700073242188,0.2051253972551681
3535,2021-02-26 16:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3536,2021-02-26 17:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3537,2021-02-26 18:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3538,2021-02-26 19:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3539,2021-02-26 20:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3540,2021-02-26 21:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3541,2021-02-26 22:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3542,2021-02-26 23:30:00,4,548.2000122070312,554.0800170898438,1.072602107238163
3543,2021-02-27 00:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3544,2021-02-27 01:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3545,2021-02-27 02:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3546,2021-02-27 03:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3547,2021-02-27 04:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3548,2021-02-27 05:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
3549,2021-02-27 06:30:00,5,548.2000122070312,554.0800170898438,1.072602107238163
